OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known,Damage_Binary
127734,No Damage,Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,41421.0,1952,34.0457045,-118.5151827,902,1,2025,1,January,Tuesday,1,0
26179,No Damage,Newman,95360,SCU,Stanislaus,2020-08-18,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,157147.0,1991,37.3960391877782,-121.440216174766,953,1,2020,8,August,Tuesday,1,0
106405,No Damage,Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,62534.0,1946,34.1941043,-118.1584373,910,1,2025,1,January,Tuesday,1,0
36038,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,Masonry/Concrete,Combustible,No Fence,Unknown,Unknown,92950.0,1964,39.7462663315507,-121.595596871145,959,1,2018,11,November,Thursday,1,1
40454,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,147598.0,1959,39.7288548551875,-121.65380564621,959,1,2018,11,November,Thursday,1,1
55393,No Damage,Unincorporated,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,365000.0,2006,39.7081104994985,-121.577322328336,959,1,2018,11,November,Thursday,1,0
33390,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,35491.0,1943,39.7697628254372,-121.619142101017,959,1,2018,11,November,Thursday,1,1
109215,No Damage,Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Enclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,71207.0,1924,34.1779081,-118.1294601,910,1,2025,1,January,Tuesday,1,0
20878,No Damage,Santa Cruz,95060,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,294931.0,1975,37.053967454311,-122.11853715667,950,1,2020,8,August,Sunday,1,0
13189,No Damage,Calistoga,94515,LNU,Napa,2020-09-27,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,0.0,1925,38.5720898697009,-122.518414128643,945,1,2020,9,September,Sunday,1,0
13094,Destroyed (>50%),Calistoga,94515,LNU,Napa,2020-09-27,Unknown,Commercial Building Multi Story,Nonresidential Commercial,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,11-20,Unknown,0.0,1961,38.5790833152287,-122.515553209161,945,0,2020,9,September,Sunday,1,1
42205,Destroyed (>50%),Unincorporated,95926,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,493509.0,2006,39.7396816247914,-121.682309785758,959,1,2018,11,November,Thursday,1,1
38775,Destroyed (>50%),Unincorporated,95965,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,No Deck/Porch,Wood,Non Combustible,No Fence,>30,Unknown,346563.0,1991,39.6697925678923,-121.653067260691,959,1,2018,11,November,Thursday,1,1
100248,No Damage,Camarillo,93010,VNC,Ventura,2024-11-06,Unknown,Single Family Residence Single Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,479355.0,1966,34.249313,-119.0668232,930,1,2024,11,November,Wednesday,1,0
13500,No Damage,Unknown,Unknown,LNU,Napa,2020-09-27,Unknown,Commercial Building Single Story,Nonresidential Commercial,Unknown,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1961,38.5516359709339,-122.522348914878,Unknown,0,2020,9,September,Sunday,0,0
101632,No Damage,Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Other,Unenclosed,Unscreened,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,349211.0,1952,34.2020072,-118.130322,910,1,2025,1,January,Tuesday,1,0
113372,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,173272.0,1953,34.1936124,-118.1376012,910,1,2025,1,January,Tuesday,1,1
