OBJECTID,Damage,Street_Number,Street_Name,Street_Type,City,Zip_Code,CAL_FIRE_Unit,County,Community,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Site_Address,Latitude,Longitude,Year_Built_Known
110616,No Damage,1140.0,N Vinedo,Avenue,Pasadena,91107,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Unknown,Unknown,<30',203071.0,1930,"1040 N VINEDO AVE, PASADENA, CA 91107",34.1641323,-118.0945582,1
5682,No Damage,0.0,Bear Creek ,Drive,Unknown,Unknown,TUU,Tulare,Unknown,2020-08-19 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,19890.0,1961,   ,36.2063712086676,-118.73233145528,0
338,Destroyed (>50%),0.0,Unknown,Unknown,Caliente,Unknown,KRN,Kern,Unknown,2020-08-03 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Wood,Single Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,Unknown,35.4394710105426,-118.426346848656,0
101747,Destroyed (>50%),3646.0,Canon,Boulevard,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,75612.0,1958,"3646 CANON BLVD, ALTADENA, CA 91001",34.2065716,-118.1352179,1
71009,Destroyed (>50%),0.0,Cedar,Way,Mokelumne Hill,95245,TCU,Calaveras,Mountain Ranch,2015-09-09 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Fire Resistant,Unknown,Unknown,Combustible,Single Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,40012.0,1961,19669 CEDAR WAY MOKELUMNE HILL CA 95245,38.2858198601644,-120.521523530098,0
4540,No Damage,3942.0,Quincy La Porte,Road,Quincy,95971,LMU,Plumas,Quincy,2020-09-09 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,0-10,Unknown,15064.0,1936,3942 QUINCY LA PORTE RD QUINCY CA 95971,39.8812855594827,-120.86790346523,1
55180,No Damage,Unknown,Unknown,Unknown,Paradise,95969,BTU,Butte,Unknown,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,213303.0,1992,6870 QUAIL WAY PARADISE CA 95969,39.7895812124275,-121.594578741263,1
67480,Destroyed (>50%),34.0,Via Santa California,Unknown,Unincorporated,Unknown,MVU,San Diego,Unknown,2017-12-07 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Fire Resistant,Unknown,Unknown,Combustible,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22537.0,1961,4650 DULIN RD,33.3157710058542,-117.164618804456,0
124323,Destroyed (>50%),700.0,Alma Real,Drive,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Unknown,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,2203200.0,2008,"700 ALMA REAL DR, PACIFIC PALISADES, CA 90272",34.0406961,-118.5229946,1
2205,No Damage,237.0,Lonesome Dove ,Circle,Berry Creek,95916,BTU,Butte,Berry Creek ,2020-09-09 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,238517.0,2010,"238 LONESOME DOVE CIR, BERRY CREEK CA 95916",39.6247817088479,-121.456297828457,1
103378,No Damage,3780.0,Ranch Stop,Road,Pasadena,91107,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,Unknown,Unknown,108296.0,1958,"3780 RANCH TOP RD, PASADENA, CA 91107",34.174072,-118.0706106,1
116263,Destroyed (>50%),333.0,Marathon ,Road,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,139783.0,1958,"333 MARATHON RD, ALTADENA, CA 91001",34.1979881,-118.1383406,1
88388,No Damage,20076.0,Vernita,Drive,Redding,96003,SHU,Shasta,Unknown,2021-09-22 00:00:00,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,Unknown,Unknown,183758.0,1961,20076 VERNITA DR REDDING CA 96003,40.675881889375,-122.314066775472,0
17934,No Damage,3883.0,Skyhawk,Lane,Vacaville,95688,LNU,Solano,Vacaville,2020-08-16 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,581000.0,1989,3883 SKYHAWK LN VACAVILLE CA 95688,38.4465873759255,-122.012529873346,1
