OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known
110616,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Unknown,Unknown,<=30,203071.0,1930,34.1641323,-118.0945582,911,1,2025,1,January,Tuesday,1
5682,No Damage,Unknown,Unknown,TUU,Tulare,2020-08-19,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,19890.0,1961,36.2063712086676,-118.73233145528,Unknown,0,2020,8,August,Wednesday,1
338,Destroyed (>50%),Caliente,Unknown,KRN,Kern,2020-08-03,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Wood,Single Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,35.4394710105426,-118.426346848656,Unknown,0,2020,8,August,Monday,1
101747,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,75612.0,1958,34.2065716,-118.1352179,910,1,2025,1,January,Tuesday,1
4540,No Damage,Quincy,95971,LMU,Plumas,2020-09-09,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,0-10,Unknown,15064.0,1936,39.8812855594827,-120.86790346523,959,1,2020,9,September,Wednesday,1
55180,No Damage,Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,213303.0,1992,39.7895812124275,-121.594578741263,959,1,2018,11,November,Thursday,1
124323,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Unknown,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,0.0,2008,34.0406961,-118.5229946,902,1,2025,1,January,Tuesday,1
2205,No Damage,Berry Creek,95916,BTU,Butte,2020-09-09,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,238517.0,2010,39.6247817088479,-121.456297828457,959,1,2020,9,September,Wednesday,1
103378,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,Unknown,Unknown,108296.0,1958,34.174072,-118.0706106,911,1,2025,1,January,Tuesday,1
116263,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,139783.0,1958,34.1979881,-118.1383406,910,1,2025,1,January,Tuesday,1
