Feature,Coefficient
Zip_Code_Prefix_934,0.7919927389932488
Exterior_Siding_Grouped_Other,-0.7744280802983214
Exterior_Siding_Grouped_Wood,-0.5370792792348229
Zip_Code_Prefix_913,0.4963598530769725
Exterior_Siding_Grouped_Vinyl,-0.4592555573136078
Zip_Code_Prefix_902,0.4404352074337151
Zip_Code_Prefix_955,0.4094044665082737
Exterior_Siding_Grouped_Metal,-0.4068866298296546
Exterior_Siding_Grouped_Stucco_Brick_Cement,-0.39558740948912696
Zip_Code_Prefix_910,0.38876520286391575
Zip_Code_Prefix_935,0.3853018436880185
Window_Pane_Grouped_Unknown,0.3596190179406763
Zip_Code_Prefix_936,0.3359038755950583
Zip_Code_Prefix_939,0.3234505590831391
Zip_Code_Prefix_956,0.3163688171007887
Zip_Code_Prefix_954,0.3053998437454842
Zip_Code_Prefix_950,0.29961879447043754
Zip_Code_Prefix_959,0.29059318431798165
Roof_Construction_Grouped_Other,-0.2888251005062404
Zip_Code_Prefix_945,0.28018360520946706
Zip_Code_Prefix_940,0.27685594763083793
Zip_Code_Prefix_960,0.25666409588467487
Zip_Code_Prefix_Unknown,0.23998022379412565
Zip_Code_Prefix_932,0.19007410876044456
Zip_Code_Prefix_919,0.181156424948942
Zip_Code_Prefix_952,0.1808316063470517
Zip_Code_Prefix_957,0.17211424272874382
Zip_Code_Prefix_925,0.17095686570195678
Structure_Type_Grouped_Mobile_Home,0.14023662711154883
Structure_Type_Grouped_Multi_Family_Residence,-0.12578546403079122
Zip_Code_Prefix_904,-0.12319781794713164
Window_Pane_Grouped_No Windows,0.11849745070083842
Window_Pane_Grouped_Single Pane,0.1134708145009814
Zip_Code_Prefix_953,0.09994153442636734
Zip_Code_Prefix_923,0.0800343967039773
Roof_Construction_Grouped_Fire_Resistant_Material,-0.07661762780731474
Zip_Code_Prefix_951,0.061685340506102276
Zip_Code_Prefix_930,0.06164679437376319
Zip_Code_Prefix_928,-0.056929995030457675
Zip_Code_Prefix_922,-0.05158053559296134
Zip_Code_Prefix_911,-0.03943114176459639
Zip_Code_Prefix_917,-0.03869979811587679
Incident_Start_Year,-0.03485252446475159
Structure_Type_Grouped_Other,0.03198442280906705
Zip_Code_Prefix_926,0.018271506181415154
Exterior_Siding_Grouped_Ignition_Resistant,0.013886169870783616
Zip_Code_Prefix_931,-0.013645614722160249
Structure_Type_Grouped_Single_Family_Residence,0.012475868324355266
Zip_Code_Prefix_916,0.012288325150061426
Zip_Code_Prefix_961,0.0019966677246264913
Zip_Code_Prefix_920,-8.326672684688674e-17
Zip_Code_Prefix_927,0.0
Zip_Code_Prefix_963,0.0
